@relation atp_matches_2018_ab-weka.filters.unsupervised.attribute.Remove-R1

@attribute surface {Hard,Clay,Grass}
@attribute 0rank numeric
@attribute 1rank numeric
@attribute winner {0rank,1rank}

@data
Hard,39,60,0rank
Hard,71,88,0rank
Hard,44,106,0rank
Hard,91,103,0rank
Hard,73,80,0rank
Hard,100,58,0rank
Hard,134,81,0rank
Hard,231,46,0rank
Hard,67,54,0rank
Hard,3,65,0rank
Hard,37,126,0rank
Hard,93,27,0rank
Hard,42,18,0rank
Hard,109,13,0rank
Hard,47,113,0rank
Hard,33,59,0rank
Hard,8,141,0rank
Hard,85,5,0rank
Hard,38,169,0rank
Hard,97,24,0rank
Hard,102,17,0rank
Hard,110,12,0rank
Hard,21,53,0rank
Hard,32,117,0rank
Hard,10,77,0rank
Hard,9,76,0rank
Hard,94,30,0rank
Hard,57,108,0rank
Hard,14,66,0rank
Hard,16,48,0rank
Hard,49,22,0rank
Hard,74,31,0rank
Hard,39,4,0rank
Hard,6,71,0rank
Hard,34,44,0rank
Hard,26,91,0rank
Hard,15,73,0rank
Hard,100,19,0rank
Hard,23,134,0rank
Hard,28,231,0rank
Hard,1,67,0rank
Hard,37,3,0rank
Hard,93,42,0rank
Hard,47,109,0rank
Hard,8,33,0rank
Hard,38,85,0rank
Hard,102,97,0rank
Hard,21,110,0rank
Hard,32,10,0rank
Hard,9,94,0rank
Hard,14,57,0rank
Hard,49,16,0rank
Hard,74,39,0rank
Hard,34,6,0rank
Hard,26,15,0rank
Hard,100,23,0rank
Hard,1,28,0rank
Hard,37,93,0rank
Hard,8,47,0rank
Hard,38,102,0rank
Hard,21,32,0rank
Hard,9,14,0rank
Hard,49,74,0rank
Hard,26,34,0rank
Hard,1,100,0rank
Hard,8,37,0rank
Hard,38,21,0rank
Hard,49,9,0rank
Hard,1,26,0rank
Hard,8,38,0rank
Hard,1,49,0rank
Hard,8,1,0rank
Hard,81,71,0rank
Hard,77,79,0rank
Hard,102,61,0rank
Hard,64,104,0rank
Hard,176,284,0rank
Hard,76,72,0rank
Hard,49,82,0rank
Hard,80,53,0rank
Hard,73,60,0rank
Hard,90,115,0rank
Hard,407,56,0rank
Hard,65,105,0rank
Hard,47,55,0rank
Hard,169,109,0rank
Hard,96,50,0rank
Hard,44,43,0rank
Hard,107,75,0rank
Hard,45,110,0rank
Hard,46,68,0rank
Hard,93,103,0rank
Hard,211,172,0rank
Hard,108,66,0rank
Hard,88,48,0rank
Hard,52,70,0rank
Hard,89,86,0rank
Hard,84,83,0rank
Hard,63,87,0rank
Hard,374,130,0rank
Hard,85,179,0rank
Hard,54,152,0rank
Hard,69,58,0rank
Hard,175,150,0rank
Hard,3,81,0rank
Hard,77,34,0rank
Hard,102,28,0rank
Hard,17,64,0rank
Hard,176,15,0rank
Hard,23,76,0rank
Hard,49,32,0rank
Hard,80,9,0rank
Hard,4,73,0rank
Hard,90,37,0rank
Hard,25,407,0rank
Hard,16,65,0rank
Hard,47,12,0rank
Hard,27,169,0rank
Hard,33,96,0rank
Hard,6,44,0rank
Hard,11,107,0rank
Hard,36,45,0rank
Hard,46,30,0rank
Hard,14,93,0rank
Hard,18,211,0rank
Hard,20,108,0rank
Hard,35,88,0rank
Hard,5,52,0rank
Hard,8,89,0rank
Hard,41,84,0rank
Hard,63,26,0rank
Hard,13,374,0rank
Hard,19,85,0rank
Hard,54,22,0rank
Hard,39,69,0rank
Hard,175,1,0rank
Hard,3,77,0rank
Hard,17,102,0rank
Hard,23,176,0rank
Hard,80,49,0rank
Hard,90,4,0rank
Hard,25,16,0rank
Hard,27,47,0rank
Hard,6,33,0rank
Hard,36,11,0rank
Hard,46,14,0rank
Hard,20,18,0rank
Hard,5,35,0rank
Hard,8,41,0rank
Hard,63,13,0rank
Hard,19,54,0rank
Hard,39,175,0rank
Hard,17,3,0rank
Hard,23,80,0rank
Hard,25,90,0rank
Hard,6,27,0rank
Hard,36,46,0rank
Hard,5,20,0rank
Hard,8,63,0rank
Hard,19,39,0rank
Hard,17,23,0rank
Hard,6,25,0rank
Hard,5,36,0rank
Hard,19,8,0rank
Hard,17,6,0rank
Hard,5,19,0rank
Hard,17,5,0rank
Clay,64,87,0rank
Clay,15,217,0rank
Clay,15,64,0rank
Clay,63,217,0rank
Hard,195,35,0rank
Hard,49,141,0rank
Hard,586,85,0rank
Clay,32,147,0rank
Clay,130,95,0rank
Clay,130,32,0rank
Clay,95,138,0rank
Hard,125,290,0rank
Hard,257,234,0rank
Hard,257,125,0rank
Hard,305,359,0rank
Clay,65,276,0rank
Clay,208,98,0rank
Clay,570,233,0rank
Hard,332,132,0rank
Hard,247,213,0rank
Hard,132,248,0rank
Hard,263,332,0rank
Grass,83,?,0rank
Grass,1770,378,0rank
Grass,83,1770,0rank
Grass,906,1770,0rank
Hard,70,355,0rank
Hard,133,106,0rank
Hard,70,133,0rank
Hard,355,106,0rank
Clay,4,33,0rank
Clay,1,34,0rank
Clay,1,4,0rank
Clay,33,34,0rank
Clay,11,62,0rank
Clay,20,80,0rank
Clay,11,20,0rank
Clay,3,258,0rank
Clay,92,28,0rank
Clay,3,92,0rank
Hard,9,319,0rank
Hard,14,110,0rank
Hard,54,110,0rank
Hard,313,549,0rank
Hard,311,?,0rank
Hard,?,311,0rank
Hard,453,251,0rank
Hard,84,592,0rank
Hard,84,453,0rank
Hard,592,251,0rank
Hard,439,1164,0rank
Hard,981,978,0rank
Hard,439,978,0rank
Hard,1027,411,0rank
Hard,842,807,0rank
Hard,807,411,0rank
Hard,226,490,0rank
Hard,472,1139,0rank
Hard,226,472,0rank
Hard,1334,1322,0rank
Hard,82,718,0rank
Hard,535,571,0rank
Hard,419,1533,0rank
Hard,1167,?,0rank
Clay,1485,1411,0rank
Clay,433,?,0rank
Clay,433,1485,0rank
Clay,1378,?,0rank
Clay,41,870,0rank
Clay,834,284,0rank
Clay,41,834,0rank
Clay,?,?,0rank
Clay,63,184,0rank
Clay,87,130,0rank
Clay,56,128,0rank
Clay,108,99,0rank
Clay,88,111,0rank
Clay,122,36,0rank
Clay,54,187,0rank
Clay,72,124,0rank
Clay,66,380,0rank
Clay,51,120,0rank
Clay,58,142,0rank
Clay,143,152,0rank
Clay,63,14,0rank
Clay,56,87,0rank
Clay,24,108,0rank
Clay,88,122,0rank
Clay,72,54,0rank
Clay,16,66,0rank
Clay,51,58,0rank
Clay,9,143,0rank
Clay,56,63,0rank
Clay,88,24,0rank
Clay,72,16,0rank
Clay,51,9,0rank
Clay,56,88,0rank
Clay,51,72,0rank
Clay,51,56,0rank
Clay,26,65,0rank
Clay,93,62,0rank
Clay,91,61,0rank
Clay,55,57,0rank
Clay,38,102,0rank
Clay,67,135,0rank
Clay,78,73,0rank
Clay,71,47,0rank
Clay,94,44,0rank
Clay,70,228,0rank
Clay,86,104,0rank
Clay,617,34,0rank
Clay,221,52,0rank
Clay,355,123,0rank
Clay,160,60,0rank
Clay,23,727,0rank
Clay,26,93,0rank
Clay,91,55,0rank
Clay,38,67,0rank
Clay,71,78,0rank
Clay,70,94,0rank
Clay,86,617,0rank
Clay,355,221,0rank
Clay,160,23,0rank
Clay,26,91,0rank
Clay,38,71,0rank
Clay,70,86,0rank
Clay,355,160,0rank
Clay,26,38,0rank
Clay,355,70,0rank
Clay,355,26,0rank
Clay,37,41,0rank
Clay,100,31,0rank
Clay,22,365,0rank
Clay,36,18,0rank
Clay,49,59,0rank
Clay,62,23,0rank
Clay,28,74,0rank
Clay,61,43,0rank
Clay,20,122,0rank
Clay,15,60,0rank
Clay,34,84,0rank
Clay,55,175,0rank
Clay,71,45,0rank
Clay,30,48,0rank
Clay,16,50,0rank
Clay,24,51,0rank
Clay,40,47,0rank
Clay,82,63,0rank
Clay,33,44,0rank
Clay,39,57,0rank
Clay,13,93,0rank
Clay,69,26,0rank
Clay,38,150,0rank
Clay,58,92,0rank
Clay,3,37,0rank
Clay,22,100,0rank
Clay,36,49,0rank
Clay,62,68,0rank
Clay,4,28,0rank
Clay,61,20,0rank
Clay,34,15,0rank
Clay,55,11,0rank
Clay,10,71,0rank
Clay,16,30,0rank
Clay,40,24,0rank
Clay,5,82,0rank
Clay,7,33,0rank
Clay,13,39,0rank
Clay,38,69,0rank
Clay,1,58,0rank
Clay,3,22,0rank
Clay,36,62,0rank
Clay,4,61,0rank
Clay,34,55,0rank
Clay,10,16,0rank
Clay,5,40,0rank
Clay,7,13,0rank
Clay,1,38,0rank
Clay,36,3,0rank
Clay,4,34,0rank
Clay,5,10,0rank
Clay,1,7,0rank
Clay,36,4,0rank
Clay,1,5,0rank
Clay,1,36,0rank
Clay,70,117,0rank
Clay,88,49,0rank
Clay,46,207,0rank
Clay,47,64,0rank
Clay,174,67,0rank
Clay,60,50,0rank
Clay,125,51,0rank
Clay,63,137,0rank
Clay,75,211,0rank
Clay,106,138,0rank
Clay,45,52,0rank
Clay,129,95,0rank
Clay,140,76,0rank
Clay,91,226,0rank
Clay,69,42,0rank
Clay,77,420,0rank
Clay,5,70,0rank
Clay,88,149,0rank
Clay,27,46,0rank
Clay,11,47,0rank
Clay,7,174,0rank
Clay,146,60,0rank
Clay,40,125,0rank
Clay,63,17,0rank
Clay,15,75,0rank
Clay,153,106,0rank
Clay,37,45,0rank
Clay,10,129,0rank
Clay,140,12,0rank
Clay,30,91,0rank
Clay,69,22,0rank
Clay,1,77,0rank
